image_id,orig_ia_pre_score,orig_ia_pre_styles_change
5458,0.001131473458372,"[-0.8720775246620178, -0.086493119597435, -0.7119174003601074, -0.6028323173522949, 0.09197473526000977, -1.0353626012802124, 0.07399734854698181, -1.1032620668411255, 1.5020442008972168]"
8521,0.001190484734252,"[-0.7141348123550415, -0.4367571175098419, 0.4548187255859375, -0.14502310752868652, -0.3222983181476593, -1.0799552202224731, 0.2747367024421692, -0.32864993810653687, 0.7120634913444519]"
4454,0.0022727532777935,"[0.6922293901443481, -1.0340012311935425, 0.7242202162742615, -0.09020480513572693, 0.28317466378211975, -0.23746365308761597, 0.34952178597450256, 0.8313807845115662, -0.8288030624389648]"
7423,0.0023832789156585,"[-0.461836576461792, -0.3946022391319275, 0.04489161819219589, 0.18814685940742493, -0.4708007276058197, -0.5978258848190308, 0.23277968168258667, -0.8864914178848267, 1.3363208770751953]"
8499,0.0025857670698314,"[0.24672332406044006, -0.8390445709228516, 0.6749986410140991, -0.5966044664382935, 0.6956161856651306, -0.5429335236549377, 0.34606295824050903, 0.6003283262252808, -0.40071162581443787]"
6660,0.0029089236631989,"[-0.12495554238557816, -1.5858761072158813, 1.037143349647522, -0.9855798482894897, -0.44596734642982483, -1.109295129776001, 0.4441218972206116, 0.5361346006393433, 0.17221477627754211]"
4323,0.0033109274227172,"[-0.8883556723594666, 0.2681809365749359, -0.3119717836380005, -0.4006692171096802, 0.02838262915611267, -0.33196622133255005, 0.1821460872888565, 0.16362357139587402, 0.5354834198951721]"
5816,0.0044654197990894,"[-0.7515262365341187, -0.015125991776585579, -0.1556912064552307, -0.751742959022522, 0.1175769567489624, -0.6260368227958679, 0.2147526741027832, -0.027601279318332672, 0.9261371493339539]"
8567,0.0050377240404486,"[0.3527991771697998, -0.6748735308647156, 0.9222385883331299, -0.3322790265083313, 0.2594377398490906, -0.32965147495269775, 0.3851815462112427, 0.7936079502105713, 0.048135727643966675]"
8602,0.0051322481594979,"[-0.10916904360055923, -0.3400960862636566, -0.30151790380477905, -0.02464212477207184, 0.35316795110702515, -0.42846471071243286, 0.18380588293075562, -1.1553813219070435, 1.186657190322876]"
